Tick, Healthy population, Susceptible population, Infected population
0.0, 0, 1500, 20
91.25, 1274, 15, 231
182.5, 1309, 16, 195
273.75, 1408, 14, 98
365.0, 2, 1488, 30
456.25, 1269, 20, 231
547.5, 1330, 16, 174
638.75, 1384, 17, 119
730.0, 0, 1488, 32
821.25, 1311, 12, 197
912.5, 1301, 16, 203
1003.75, 1380, 14, 126
1095.0, 1, 1487, 32
1186.25, 1246, 12, 262
1277.5, 1320, 23, 177
1368.75, 1379, 12, 129
1460.0, 0, 1487, 33
1551.25, 1227, 7, 286
1642.5, 1323, 10, 187
1733.75, 1383, 23, 114
1825.0, 0, 1486, 34
1916.25, 1324, 7, 189
2007.5, 1329, 16, 175
2098.75, 1418, 15, 87
2190.0, 0, 1483, 37
2281.25, 1324, 11, 185
2372.5, 1331, 14, 175
2463.75, 1424, 20, 76
2555.0, 0, 1486, 34
2646.25, 1298, 6, 216
2737.5, 1301, 11, 208
2828.75, 1390, 18, 112
2920.0, 0, 1488, 32
3011.25, 1317, 15, 188
3102.5, 1307, 14, 199
3193.75, 1375, 16, 129
3285.0, 0, 1487, 33
3376.25, 1234, 28, 258
3467.5, 1333, 13, 174
3558.75, 1407, 8, 105
3650.0, 1, 1491, 28
3741.25, 1240, 34, 246
3832.5, 1344, 8, 168
3923.75, 1386, 17, 117
4015.0, 0, 1486, 34
4106.25, 1276, 16, 228
4197.5, 1318, 13, 189
4288.75, 1373, 25, 122
4380.0, 0, 1484, 36
4471.25, 1287, 14, 219
4562.5, 1283, 15, 222
4653.75, 1385, 29, 106
4745.0, 0, 1485, 35
4836.25, 1248, 17, 255
4927.5, 1319, 32, 169
5018.75, 1341, 23, 156
5110.0, 0, 1487, 33
5201.25, 1297, 19, 204
5292.5, 1306, 11, 203
5383.75, 1389, 17, 114
5475.0, 1, 1487, 32
5566.25, 1260, 24, 236
5657.5, 1298, 13, 209
5748.75, 1395, 16, 109
5840.0, 0, 1485, 35
5931.25, 1201, 11, 308
6022.5, 1351, 10, 159
6113.75, 1395, 19, 106
6205.0, 0, 1484, 36
6296.25, 1329, 19, 172
6387.5, 1307, 11, 202
6478.75, 1384, 16, 120
6570.0, 1, 1488, 31
6661.25, 1275, 19, 226
6752.5, 1315, 16, 189
6843.75, 1364, 16, 140
6935.0, 0, 1487, 33
7026.25, 1206, 34, 280
7117.5, 1331, 12, 177
7208.75, 1375, 14, 131
7300.0, 0, 1486, 34
7391.25, 1326, 4, 190
7482.5, 1335, 20, 165
7573.75, 1386, 16, 118
7665.0, 0, 1483, 37
7756.25, 1309, 23, 188
7847.5, 1331, 8, 181
7938.75, 1392, 21, 107
8030.0, 0, 1487, 33
8121.25, 1220, 8, 292
8212.5, 1358, 11, 151
8303.75, 1431, 14, 75
8395.0, 2, 1488, 30
8486.25, 1262, 21, 237
8577.5, 1338, 13, 169
8668.75, 1396, 13, 111
8760.0, 2, 1487, 31
8851.25, 1239, 28, 253
8942.5, 1249, 28, 243
9033.75, 1369, 18, 133
9125.0, 1, 1487, 32
9216.25, 1275, 17, 228
9307.5, 1327, 9, 184
9398.75, 1397, 14, 109
9490.0, 1, 1486, 33
9581.25, 1203, 23, 294
9672.5, 1324, 20, 176
9763.75, 1415, 16, 89
9855.0, 1, 1484, 35
9946.25, 1284, 14, 222
10037.5, 1310, 5, 205
10128.75, 1409, 16, 95
10220.0, 0, 1488, 32
10311.25, 1311, 12, 197
10402.5, 1334, 14, 172
10493.75, 1445, 23, 52
10585.0, 0, 1489, 31
10676.25, 1274, 21, 225
10767.5, 1309, 26, 185
10858.75, 1378, 8, 134
10950.0, 1, 1486, 33
11041.25, 1305, 19, 196
11132.5, 1330, 6, 184
11223.75, 1383, 15, 122
11315.0, 1, 1491, 28
11406.25, 1272, 23, 225
11497.5, 1339, 19, 162
11588.75, 1401, 19, 100
11680.0, 0, 1489, 31
11771.25, 1273, 10, 237
11862.5, 1312, 18, 190
11953.75, 1385, 20, 115
12045.0, 1, 1484, 35
12136.25, 1259, 28, 233
12227.5, 1293, 16, 211
12318.75, 1362, 16, 142
12410.0, 0, 1487, 33
12501.25, 1364, 17, 139
12592.5, 1324, 20, 176
12683.75, 1385, 22, 113
12775.0, 0, 1488, 32
12866.25, 1294, 24, 202
12957.5, 1283, 25, 212
13048.75, 1384, 16, 120
13140.0, 0, 1487, 33
13231.25, 1272, 9, 239
13322.5, 1370, 14, 136
13413.75, 1431, 16, 73
13505.0, 2, 1485, 33
13596.25, 1286, 9, 225
13687.5, 1324, 8, 188
13778.75, 1371, 13, 136
13870.0, 0, 1490, 30
13961.25, 1269, 12, 239
14052.5, 1310, 20, 190
14143.75, 1396, 18, 106
14235.0, 0, 1485, 35
14326.25, 1317, 16, 187
14417.5, 1286, 27, 207
14508.75, 1400, 20, 100
14600.0, 2, 1487, 31
14691.25, 1250, 19, 251
14782.5, 1313, 13, 194
14873.75, 1424, 18, 78
14965.0, 0, 1486, 34
15056.25, 1298, 17, 205
15147.5, 1317, 9, 194
15238.75, 1407, 9, 104
15330.0, 0, 1490, 30
15421.25, 1310, 33, 177
15512.5, 1324, 21, 175
15603.75, 1425, 8, 87
15695.0, 1, 1482, 37
15786.25, 1329, 12, 179
15877.5, 1325, 11, 184
15968.75, 1420, 9, 91
16060.0, 2, 1488, 30
16151.25, 1349, 14, 157
16242.5, 1349, 23, 148
16333.75, 1426, 14, 80
16425.0, 2, 1487, 31
16516.25, 1261, 15, 244
16607.5, 1316, 13, 191
16698.75, 1382, 24, 114
16790.0, 1, 1484, 35
16881.25, 1224, 26, 270
16972.5, 1262, 13, 245
17063.75, 1349, 20, 151
17155.0, 1, 1485, 34
17246.25, 1298, 18, 204
17337.5, 1299, 22, 199
17428.75, 1395, 18, 107
17520.0, 1, 1484, 35
17611.25, 1154, 19, 347
17702.5, 1340, 14, 166
17793.75, 1397, 11, 112
17885.0, 1, 1483, 36
17976.25, 1275, 10, 235
18067.5, 1283, 13, 224
18158.75, 1342, 23, 155
18250.0, 0, 1486, 34
18341.25, 1261, 15, 244
18432.5, 1359, 17, 144
18523.75, 1376, 17, 127
18615.0, 1, 1488, 31
18706.25, 1217, 15, 288
18797.5, 1309, 24, 187
18888.75, 1393, 13, 114
18980.0, 0, 1489, 31
19071.25, 1289, 16, 215
19162.5, 1314, 10, 196
19253.75, 1393, 16, 111
19345.0, 2, 1486, 32
19436.25, 1351, 18, 151
19527.5, 1356, 10, 154
19618.75, 1447, 12, 61
19710.0, 1, 1485, 34
19801.25, 1255, 28, 237
19892.5, 1310, 9, 201
19983.75, 1433, 13, 74
20075.0, 0, 1485, 35
20166.25, 1255, 32, 233
20257.5, 1320, 16, 184
20348.75, 1407, 20, 93
20440.0, 2, 1487, 31
20531.25, 1309, 11, 200
20622.5, 1322, 13, 185
20713.75, 1409, 14, 97
20805.0, 1, 1484, 35
20896.25, 1204, 18, 298
20987.5, 1271, 13, 236
21078.75, 1396, 11, 113
21170.0, 3, 1486, 31
21261.25, 1277, 14, 229
21352.5, 1304, 17, 199
21443.75, 1380, 19, 121
21535.0, 0, 1485, 35
21626.25, 1324, 11, 185
21717.5, 1304, 23, 193
21808.75, 1395, 17, 108
21900.0, 0, 1487, 33
21991.25, 1299, 5, 216
22082.5, 1338, 4, 178
22173.75, 1372, 11, 137
22265.0, 1, 1489, 30
22356.25, 1271, 9, 240
22447.5, 1284, 25, 211
22538.75, 1377, 19, 124
22630.0, 0, 1485, 35
22721.25, 1304, 25, 191
22812.5, 1325, 11, 184
22903.75, 1428, 7, 85
22995.0, 0, 1489, 31
23086.25, 1263, 10, 247
23177.5, 1307, 11, 202
23268.75, 1362, 17, 141
23360.0, 0, 1488, 32
23451.25, 1276, 23, 221
23542.5, 1345, 9, 166
23633.75, 1426, 20, 74
23725.0, 2, 1489, 29
23816.25, 1213, 11, 296
23907.5, 1289, 20, 211
23998.75, 1391, 11, 118
24090.0, 0, 1486, 34
24181.25, 1315, 10, 195
24272.5, 1344, 17, 159
24363.75, 1367, 23, 130
24455.0, 0, 1489, 31
24546.25, 1291, 16, 213
24637.5, 1339, 10, 171
24728.75, 1430, 17, 73
24820.0, 0, 1486, 34
24911.25, 1312, 22, 186
25002.5, 1299, 14, 207
25093.75, 1383, 21, 116
25185.0, 1, 1485, 34
25276.25, 1277, 6, 237
25367.5, 1341, 9, 170
25458.75, 1372, 25, 123
25550.0, 0, 1485, 35
25641.25, 1258, 13, 249
25732.5, 1321, 11, 188
25823.75, 1370, 28, 122
25915.0, 1, 1485, 34
26006.25, 1267, 29, 224
26097.5, 1286, 26, 208
26188.75, 1384, 25, 111
26280.0, 1, 1486, 33
26371.25, 1279, 12, 229
26462.5, 1326, 14, 180
26553.75, 1334, 16, 170
26645.0, 0, 1485, 35
26736.25, 1321, 16, 183
26827.5, 1332, 24, 164
26918.75, 1414, 17, 89
27010.0, 2, 1487, 31
27101.25, 1325, 12, 183
27192.5, 1305, 20, 195
27283.75, 1383, 23, 114
27375.0, 0, 1489, 31
27466.25, 1259, 20, 241
27557.5, 1316, 16, 188
27648.75, 1402, 22, 96
27740.0, 0, 1488, 32
27831.25, 1260, 11, 249
27922.5, 1323, 16, 181
28013.75, 1389, 19, 112
28105.0, 1, 1486, 33
28196.25, 1215, 32, 273
28287.5, 1330, 13, 177
28378.75, 1411, 19, 90
28470.0, 1, 1486, 33
